DATE,GRADE,REGION
21,10th,Kashkadarya region
19,10th,Tashkent region
19,11th,Tashkent region
19,9th,Sirdarya region
19,10th,Sirdarya region
19,10th,Tashkent region
19,11th,Kashkadarya region
19,11th,Kashkadarya region
19,9th,Bukhara region
19,10th,Tashkent region
20,11th,Jizzakh region
20,9th,Bukhara region
20,9th,Tashkent region
21,10th,Khorezm region
21,10th,Republic of Karakalpakstan
21,10th,Khorezm region
21,11th,Tashkent region
21,9th,Andijan region
21,9th,Andijan region
22,11th,Tashkent region
22,11th,Navoiy region
22,9th,Tashkent region
22,11th,Kashkadarya region
22,11th,Tashkent region
22,10th,Surkhandarya region
22,10th,Republic of Karakalpakstan
22,10th,Sirdarya region
22,11th,Tashkent region
23,10th,Tashkent region
23,10th,Fergana region
23,11th,Navoiy region
23,11th,Kashkadarya region
23,11th,Tashkent region
23,11th,Andijan region
23,11th,Tashkent region
23,10th,Khorezm region
23,11th,Tashkent region
23,11th,Tashkent region
23,11th,Tashkent region
24,9th,Navoiy region
24,10th,Navoiy region
24,10th,Republic of Karakalpakstan
24,9th,Republic of Karakalpakstan
24,10th,Republic of Karakalpakstan
24,9th,Kashkadarya region
24,10th,Khorezm region
24,11th,Namangan region
24,10th,Kashkadarya region
25,11th,Tashkent region
25,11th,Andijan region
25,11th,Fergana region
25,11th,Khorezm region
25,11th,Tashkent region
25,9th,Khorezm region
25,11th,Namangan region
25,11th,Andijan region
25,9th,Fergana region
25,11th,Namangan region
25,11th,Andijan region
25,10th,Navoiy region
25,11th,Andijan region
25,10th,Kashkadarya region
25,11th,Tashkent region
25,10th,Tashkent region
25,11th,Navoiy region
25,11th,Tashkent region
25,9th,Namangan region
19,11th,Republic of Karakalpakstan
19,11th,Tashkent region
19,10th,Tashkent region
19,10th,Tashkent region
19,11th,Namangan region
19,9th,Tashkent region
19,10th,Tashkent region
19,9th,Andijan region
19,10th,Tashkent region
19,10th,Namangan region
19,9th,Andijan region
20,11th,Bukhara region
20,11th,Tashkent region
20,10th,Tashkent region
21,11th,Tashkent region
21,9th,Tashkent region
21,9th,Tashkent region
21,11th,Navoiy region
21,11th,Samarkand region
21,11th,Navoiy region
21,10th,Navoiy region
21,9th,Navoiy region
21,11th,Fergana region
21,10th,Navoiy region
22,11th,Khorezm region
22,10th,Tashkent region
22,9th,Navoiy region
22,11th,Tashkent region
22,10th,Bukhara region
23,11th,Navoiy region
23,10th,Andijan region
23,9th,Navoiy region
23,11th,Bukhara region
23,11th,Andijan region
23,10th,Namangan region
24,11th,Namangan region
24,11th,Tashkent region
24,9th,Tashkent region
24,10th,Tashkent region
24,11th,Fergana region
24,9th,Fergana region
24,10th,Namangan region
24,10th,Bukhara region
24,10th,Sirdarya region
24,10th,Khorezm region
24,9th,Andijan region
24,10th,Andijan region
24,11th,Tashkent region
24,10th,Samarkand region
24,11th,Samarkand region
24,9th,Republic of Karakalpakstan
24,10th,Tashkent region
24,11th,Andijan region
24,11th,Navoiy region
24,10th,Jizzakh region
25,11th,Samarkand region
25,9th,Bukhara region
25,9th,Samarkand region
25,10th,Khorezm region
25,10th,Khorezm region
25,9th,Andijan region
25,11th,Namangan region
25,10th,Andijan region
25,9th,Andijan region
25,11th,Samarkand region
25,9th,Fergana region
25,10th,Navoiy region
25,11th,Andijan region
25,11th,Namangan region
25,10th,Sirdarya region
25,11th,Tashkent region
19,11th,Fergana region
19,11th,Tashkent region
19,10th,Navoiy region
20,10th,Fergana region
20,11th,Jizzakh region
20,11th,Republic of Karakalpakstan
21,10th,Kashkadarya region
21,10th,Khorezm region
21,11th,Tashkent region
21,9th,Navoiy region
21,10th,Tashkent region
22,10th,Navoiy region
22,10th,Kashkadarya region
22,9th,Namangan region
22,11th,Tashkent region
22,11th,Sirdarya region
22,10th,Tashkent region
22,9th,Andijan region
23,10th,Navoiy region
23,10th,Sirdarya region
24,11th,Andijan region
24,10th,Khorezm region
24,11th,Kashkadarya region
24,11th,Tashkent region
25,10th,Republic of Karakalpakstan
25,11th,Tashkent region
25,11th,Tashkent region
25,9th,Jizzakh region
25,10th,Bukhara region
19,10th,Tashkent region
21,11th,Surkhandarya region
23,9th,Tashkent region
23,11th,Andijan region
23,11th,Samarkand region
24,9th,Tashkent region
24,10th,Namangan region
25,10th,Sirdarya region
25,10th,Jizzakh region
22,10th,Namangan region
25,11th,Andijan region
18,11th,Khorezm region
18,11th,Andijan region
18,11th,Tashkent region
18,10th,Fergana region
18,11th,Tashkent region
18,10th,Fergana region
18,10th,Tashkent region
18,11th,Tashkent region
18,11th,Fergana region
18,10th,Fergana region
18,9th,Andijan region
18,10th,Namangan region
18,11th,Bukhara region
18,11th,Fergana region
18,11th,Khorezm region
18,10th,Fergana region
18,11th,Kashkadarya region
18,9th,Fergana region
18,9th,Namangan region
18,11th,Jizzakh region
18,9th,Tashkent region
18,11th,Tashkent region
18,10th,Surkhandarya region
18,10th,Tashkent region
19,9th,Tashkent region
19,10th,Jizzakh region
19,10th,Kashkadarya region
19,9th,Bukhara region
25,10th,Tashkent region
25,10th,Surkhandarya region
19,9th,Fergana region
19,9th,Bukhara region
19,11th,Tashkent region
19,11th,Andijan region
19,11th,Surkhandarya region
19,10th,Kashkadarya region
19,9th,Fergana region
19,11th,Namangan region
19,9th,Khorezm region
19,9th,Andijan region
20,11th,Fergana region
20,11th,Navoiy region
20,9th,Kashkadarya region
20,11th,Tashkent region
20,11th,Namangan region
20,10th,Surkhandarya region
20,10th,Jizzakh region
20,11th,Tashkent region
20,11th,Tashkent region
20,9th,Bukhara region
20,11th,Tashkent region
20,10th,Kashkadarya region
21,10th,Republic of Karakalpakstan
21,10th,Khorezm region
22,11th,Tashkent region
22,11th,Tashkent region
22,11th,Khorezm region
22,10th,Republic of Karakalpakstan
23,10th,Andijan region
23,10th,Fergana region
23,9th,Tashkent region
23,11th,Bukhara region
23,10th,Namangan region
24,11th,Khorezm region
24,10th,Surkhandarya region
24,11th,Fergana region
24,10th,Navoiy region
24,11th,Bukhara region
25,11th,Tashkent region
25,10th,Khorezm region
25,11th,Tashkent region
25,10th,Tashkent region
25,11th,Tashkent region
25,11th,Bukhara region
25,10th,Navoiy region
25,11th,Kashkadarya region
25,10th,Andijan region
25,9th,Tashkent region
25,9th,Andijan region
25,9th,Bukhara region
19,11th,Khorezm region
19,9th,Namangan region
19,9th,Fergana region
19,9th,Fergana region
19,10th,Tashkent region
19,9th,Fergana region
19,11th,Sirdarya region
19,10th,Jizzakh region
19,10th,Tashkent region
19,11th,Namangan region
19,10th,Tashkent region
20,11th,Namangan region
20,9th,Jizzakh region
20,11th,Fergana region
20,11th,Tashkent region
20,9th,Tashkent region
20,11th,Navoiy region
21,11th,Khorezm region
21,11th,Republic of Karakalpakstan
21,11th,Navoiy region
21,10th,Republic of Karakalpakstan
21,9th,Republic of Karakalpakstan
21,11th,Namangan region
21,10th,Sirdarya region
21,9th,Navoiy region
22,11th,Kashkadarya region
22,10th,Jizzakh region
22,9th,Navoiy region
22,10th,Jizzakh region
22,9th,Fergana region
23,9th,Bukhara region
23,9th,Andijan region
23,11th,Bukhara region
24,9th,Kashkadarya region
24,11th,Sirdarya region
24,11th,Tashkent region
24,11th,Navoiy region
24,11th,Tashkent region
24,11th,Bukhara region
24,10th,Kashkadarya region
24,9th,Khorezm region
24,10th,Khorezm region
24,11th,Fergana region
24,11th,Tashkent region
24,10th,Surkhandarya region
24,11th,Khorezm region
24,11th,Sirdarya region
24,11th,Namangan region
24,10th,Fergana region
24,9th,Khorezm region
24,11th,Tashkent region
25,9th,Republic of Karakalpakstan
25,9th,Navoiy region
25,9th,Fergana region
25,10th,Sirdarya region
25,11th,Andijan region
25,10th,Namangan region
25,11th,Andijan region
25,11th,Tashkent region
25,11th,Andijan region
25,10th,Tashkent region
25,10th,Tashkent region
25,10th,Tashkent region
25,10th,Sirdarya region
25,11th,Khorezm region
25,10th,Tashkent region
25,9th,Khorezm region
25,11th,Tashkent region
25,11th,Tashkent region
25,11th,Samarkand region
19,10th,Tashkent region
19,11th,Andijan region
19,10th,Samarkand region
19,11th,Kashkadarya region
20,11th,Sirdarya region
21,10th,Fergana region
21,11th,Navoiy region
22,11th,Tashkent region
23,10th,Tashkent region
24,11th,Tashkent region
24,10th,Andijan region
24,9th,Surkhandarya region
24,9th,Khorezm region
24,11th,Kashkadarya region
24,11th,Namangan region
25,9th,Khorezm region
25,9th,Jizzakh region
25,11th,Andijan region
19,9th,Fergana region
22,10th,Tashkent region
23,11th,Navoiy region
23,11th,Andijan region
24,10th,Republic of Karakalpakstan
25,11th,Samarkand region
18,11th,Namangan region
18,11th,Tashkent region
18,11th,Fergana region
18,11th,Navoiy region
18,11th,Tashkent region
18,9th,Tashkent region
18,10th,Fergana region
18,10th,Andijan region
18,11th,Tashkent region
18,9th,Fergana region
18,11th,Khorezm region
18,11th,Bukhara region
18,10th,Namangan region
18,10th,Surkhandarya region
18,9th,Fergana region
18,11th,Tashkent region
18,10th,Andijan region
18,9th,Tashkent region
18,9th,Tashkent region
18,11th,Bukhara region
18,10th,Republic of Karakalpakstan
18,9th,Samarkand region
19,10th,Khorezm region
19,10th,Tashkent region
19,9th,Tashkent region
19,9th,Fergana region
19,10th,Fergana region
19,9th,Kashkadarya region
20,11th,Tashkent region
23,11th,Tashkent region
25,11th,Surkhandarya region
25,9th,Surkhandarya region
25,11th,Namangan region
19,9th,Fergana region
19,11th,Bukhara region
19,9th,Tashkent region
19,10th,Andijan region
19,11th,Navoiy region
19,11th,Fergana region
19,11th,Jizzakh region
19,11th,Tashkent region
19,10th,Fergana region
20,11th,Tashkent region
20,11th,Tashkent region
20,11th,Andijan region
21,11th,Tashkent region
21,10th,Khorezm region
21,9th,Tashkent region
21,11th,Samarkand region
22,10th,Tashkent region
22,9th,Navoiy region
23,9th,Namangan region
23,10th,Khorezm region
23,11th,Republic of Karakalpakstan
24,10th,Republic of Karakalpakstan
24,9th,Republic of Karakalpakstan
24,11th,Republic of Karakalpakstan
24,9th,Samarkand region
24,11th,Kashkadarya region
25,11th,Tashkent region
25,10th,Kashkadarya region
25,11th,Namangan region
25,11th,Fergana region
25,9th,Tashkent region
25,10th,Surkhandarya region
25,10th,Bukhara region
25,10th,Fergana region
25,10th,Tashkent region
25,9th,Fergana region
25,11th,Namangan region
25,10th,Tashkent region
25,10th,Tashkent region
19,9th,Fergana region
19,11th,Namangan region
19,9th,Kashkadarya region
19,11th,Navoiy region
19,9th,Jizzakh region
19,9th,Jizzakh region
19,9th,Tashkent region
19,11th,Sirdarya region
19,10th,Sirdarya region
19,9th,Namangan region
19,9th,Samarkand region
19,10th,Tashkent region
19,11th,Tashkent region
19,9th,Kashkadarya region
19,11th,Navoiy region
19,9th,Tashkent region
19,10th,Tashkent region
20,10th,Tashkent region
20,10th,Tashkent region
20,9th,Bukhara region
20,10th,Khorezm region
20,10th,Tashkent region
20,11th,Fergana region
20,10th,Tashkent region
20,11th,Sirdarya region
20,9th,Andijan region
20,11th,Namangan region
20,11th,Namangan region
20,11th,Jizzakh region
21,10th,Khorezm region
21,10th,Khorezm region
21,10th,Namangan region
21,11th,Navoiy region
21,10th,Tashkent region
22,10th,Tashkent region
22,10th,Tashkent region
22,9th,Andijan region
22,10th,Kashkadarya region
22,11th,Bukhara region
22,9th,Fergana region
22,9th,Andijan region
22,11th,Khorezm region
22,9th,Republic of Karakalpakstan
22,11th,Namangan region
22,10th,Navoiy region
22,9th,Navoiy region
22,9th,Namangan region
22,9th,Jizzakh region
23,10th,Navoiy region
23,11th,Fergana region
23,10th,Andijan region
23,11th,Andijan region
24,10th,Khorezm region
24,11th,Namangan region
24,9th,Andijan region
24,11th,Republic of Karakalpakstan
24,9th,Namangan region
24,10th,Sirdarya region
24,9th,Andijan region
24,11th,Kashkadarya region
24,11th,Andijan region
24,10th,Khorezm region
24,10th,Samarkand region
24,10th,Tashkent region
24,9th,Fergana region
24,11th,Kashkadarya region
24,9th,Sirdarya region
24,9th,Namangan region
24,11th,Namangan region
24,10th,Bukhara region
24,10th,Tashkent region
25,11th,Tashkent region
25,9th,Bukhara region
25,11th,Tashkent region
25,9th,Khorezm region
25,10th,Tashkent region
25,10th,Tashkent region
25,10th,Namangan region
25,9th,Jizzakh region
25,10th,Republic of Karakalpakstan
25,10th,Tashkent region
25,11th,Namangan region
19,11th,Tashkent region
19,11th,Fergana region
19,9th,Andijan region
19,9th,Bukhara region
21,9th,Namangan region
21,11th,Kashkadarya region
21,10th,Khorezm region
22,11th,Tashkent region
22,11th,Sirdarya region
23,9th,Surkhandarya region
24,11th,Sirdarya region
24,11th,Surkhandarya region
24,9th,Tashkent region
24,11th,Namangan region
24,9th,Andijan region
24,11th,Kashkadarya region
24,10th,Tashkent region
25,10th,Sirdarya region
25,9th,Jizzakh region
18,10th,Andijan region
18,11th,Tashkent region
18,10th,Navoiy region
18,11th,Khorezm region
18,10th,Namangan region
18,9th,Navoiy region
18,10th,Namangan region
18,10th,Jizzakh region
18,10th,Andijan region
18,9th,Jizzakh region
18,11th,Jizzakh region
18,10th,Fergana region
18,11th,Jizzakh region
18,10th,Sirdarya region
18,10th,Jizzakh region
18,10th,Fergana region
18,9th,Tashkent region
19,10th,Bukhara region
21,9th,Tashkent region
24,9th,Jizzakh region
25,10th,Sirdarya region
25,10th,Tashkent region
25,10th,Tashkent region
25,9th,Andijan region
25,9th,Kashkadarya region
25,10th,Namangan region
25,10th,Tashkent region
25,11th,Fergana region
25,10th,Tashkent region
19,10th,Khorezm region
19,10th,Jizzakh region
19,10th,Jizzakh region
19,11th,Tashkent region
19,11th,Tashkent region
19,11th,Sirdarya region
19,9th,Tashkent region
19,11th,Namangan region
19,11th,Tashkent region
20,11th,Fergana region
20,11th,Kashkadarya region
20,9th,Kashkadarya region
20,11th,Tashkent region
20,11th,Tashkent region
20,10th,Tashkent region
21,9th,Tashkent region
21,11th,Namangan region
21,10th,Sirdarya region
21,9th,Bukhara region
21,11th,Republic of Karakalpakstan
21,11th,Fergana region
21,10th,Jizzakh region
21,11th,Namangan region
21,11th,Tashkent region
21,11th,Bukhara region
22,10th,Navoiy region
22,11th,Khorezm region
22,10th,Namangan region
22,10th,Andijan region
22,11th,Surkhandarya region
23,10th,Fergana region
23,9th,Navoiy region
23,9th,Namangan region
23,10th,Khorezm region
23,10th,Namangan region
24,9th,Republic of Karakalpakstan
24,11th,Tashkent region
24,10th,Andijan region
24,11th,Khorezm region
24,11th,Samarkand region
24,11th,Andijan region
24,9th,Kashkadarya region
24,10th,Khorezm region
24,11th,Tashkent region
24,11th,Khorezm region
24,10th,Khorezm region
24,11th,Surkhandarya region
24,10th,Jizzakh region
25,11th,Fergana region
25,10th,Kashkadarya region
25,10th,Republic of Karakalpakstan
25,11th,Tashkent region
25,10th,Surkhandarya region
25,9th,Tashkent region
25,11th,Tashkent region
25,9th,Khorezm region
25,10th,Jizzakh region
25,10th,Republic of Karakalpakstan
25,11th,Namangan region
25,9th,Khorezm region
25,9th,Fergana region
25,9th,Tashkent region
25,9th,Andijan region
25,10th,Tashkent region
25,11th,Andijan region
25,9th,Republic of Karakalpakstan
19,11th,Bukhara region
19,9th,Kashkadarya region
19,10th,Tashkent region
19,11th,Tashkent region
19,11th,Tashkent region
19,11th,Kashkadarya region
19,10th,Tashkent region
19,11th,Sirdarya region
19,10th,Tashkent region
19,9th,Fergana region
19,10th,Samarkand region
20,11th,Tashkent region
20,10th,Khorezm region
20,11th,Fergana region
20,10th,Kashkadarya region
20,11th,Surkhandarya region
20,11th,Tashkent region
20,11th,Sirdarya region
20,9th,Surkhandarya region
20,10th,Bukhara region
20,9th,Kashkadarya region
20,9th,Andijan region
20,11th,Namangan region
20,10th,Samarkand region
20,9th,Tashkent region
21,10th,Navoiy region
21,9th,Kashkadarya region
21,10th,Khorezm region
21,11th,Samarkand region
21,10th,Bukhara region
21,9th,Andijan region
21,10th,Tashkent region
21,9th,Tashkent region
21,10th,Jizzakh region
22,9th,Andijan region
22,11th,Tashkent region
22,9th,Republic of Karakalpakstan
22,9th,Republic of Karakalpakstan
22,11th,Namangan region
22,11th,Khorezm region
22,11th,Khorezm region
22,9th,Andijan region
22,10th,Khorezm region
23,11th,Samarkand region
23,9th,Namangan region
23,11th,Samarkand region
23,9th,Khorezm region
23,10th,Fergana region
23,10th,Khorezm region
23,9th,Republic of Karakalpakstan
23,10th,Tashkent region
23,9th,Namangan region
24,10th,Surkhandarya region
24,9th,Jizzakh region
24,9th,Navoiy region
24,10th,Namangan region
24,10th,Fergana region
24,10th,Khorezm region
24,11th,Khorezm region
24,11th,Namangan region
24,10th,Samarkand region
24,9th,Namangan region
24,10th,Tashkent region
24,10th,Jizzakh region
24,9th,Andijan region
24,10th,Navoiy region
24,9th,Jizzakh region
24,9th,Andijan region
24,10th,Andijan region
24,11th,Kashkadarya region
25,11th,Tashkent region
25,11th,Surkhandarya region
25,11th,Navoiy region
25,11th,Tashkent region
25,9th,Namangan region
25,9th,Namangan region
25,11th,Navoiy region
25,10th,Khorezm region
25,9th,Tashkent region
25,11th,Tashkent region
25,11th,Namangan region
18,11th,Kashkadarya region
18,11th,Tashkent region
18,10th,Andijan region
18,11th,Bukhara region
18,11th,Bukhara region
18,10th,Khorezm region
18,11th,Republic of Karakalpakstan
18,9th,Kashkadarya region
18,9th,Jizzakh region
18,11th,Fergana region
18,10th,Samarkand region
18,11th,Kashkadarya region
18,11th,Jizzakh region
18,11th,Jizzakh region
18,11th,Jizzakh region
18,9th,Samarkand region
19,10th,Fergana region
19,10th,Namangan region
19,10th,Khorezm region
19,10th,Samarkand region
19,10th,Namangan region
19,10th,Fergana region
19,10th,Navoiy region
20,11th,Bukhara region
21,11th,Khorezm region
21,11th,Andijan region
22,11th,Kashkadarya region
23,9th,Khorezm region
24,10th,Namangan region
24,11th,Tashkent region
24,10th,Namangan region
24,9th,Tashkent region
24,11th,Tashkent region
24,10th,Tashkent region
25,9th,Tashkent region
25,10th,Khorezm region
25,11th,Khorezm region
19,9th,Fergana region
19,11th,Khorezm region
19,10th,Samarkand region
19,10th,Fergana region
19,9th,Namangan region
19,11th,Tashkent region
19,10th,Namangan region
19,11th,Tashkent region
19,11th,Tashkent region
19,11th,Fergana region
19,10th,Tashkent region
19,10th,Kashkadarya region
19,10th,Tashkent region
19,11th,Navoiy region
19,9th,Tashkent region
19,11th,Tashkent region
19,10th,Khorezm region
19,11th,Surkhandarya region
19,10th,Namangan region
20,11th,Khorezm region
20,11th,Khorezm region
